aX,aY,aZ,gX,gY,gZ,S
-0.599,0.839,-3.259,-13.306,-39.856,8.606,0.201
0.344,1.558,-0.879,-46.753,-44.067,0.549,0.201
2.105,-0.643,-2.915,21.118,-60.913,12.634,0.201
1.568,1.083,-2.110,-53.162,25.024,5.859,0.201
-0.777,-1.918,-0.236,44.556,-0.671,8.179,0.201
0.243,0.694,-2.184,9.338,40.771,26.733,0.201
-1.145,0.533,-0.550,-13.550,43.335,32.593,0.201
-2.016,-1.021,0.401,26.917,0.061,15.564,0.201
-1.292,1.081,-2.310,-6.531,-9.705,29.785,0.201
2.387,0.393,-1.778,4.272,-36.560,25.391,0.201
2.080,2.063,-1.211,-45.898,7.019,10.864,0.201
0.618,-0.588,-3.252,9.460,-15.320,4.517,0.201
-1.458,-0.064,2.933,-71.411,36.011,12.146,0.201
0.175,-1.547,-3.979,92.651,-13.245,31.555,0.201
-0.279,2.022,0.279,-52.429,65.308,53.589,0.201
-0.892,-2.343,-0.079,38.452,-0.366,39.734,0.201
0.124,0.805,-2.535,-22.766,21.790,56.030,0.201
-0.353,-1.283,2.171,41.931,-33.569,32.959,0.143
-0.118,1.772,-2.311,-25.513,-2.380,45.532,0.143
0.610,-0.032,-0.956,4.272,-11.963,20.447,0.143
1.377,1.921,-2.917,-20.447,17.212,27.588,0.143
-1.346,-0.858,0.050,-1.892,5.920,29.480,0.143
-1.031,0.782,1.368,-49.072,34.729,43.579,0.143
1.931,-0.983,-3.979,80.994,-19.897,51.575,0.143
-1.955,1.040,-2.054,-98.022,47.241,54.138,0.143
1.748,-2.120,3.573,114.258,-36.804,45.837,0.143
-0.142,1.049,-0.344,-42.114,33.142,54.749,0.143
-0.783,0.099,-2.070,65.186,-9.521,52.063,0.143
-0.089,1.390,1.036,-5.554,8.301,44.006,0.143
-0.574,1.066,-0.682,-6.409,-10.193,42.175,0.143
-0.105,2.551,-4.000,-17.639,-10.071,41.138,0.143
-0.238,-1.886,4.000,-68.909,-10.437,8.789,0.143
-0.514,-0.574,-3.987,114.990,-44.556,25.391,0.143
0.671,0.304,1.711,-46.936,34.119,55.054,0.143
-2.428,0.015,-0.437,78.430,-31.677,32.288,0.143
0.881,-0.065,0.390,3.113,1.282,55.969,0.143
0.078,1.877,-2.306,-1.892,-4.578,68.176,0.143
2.582,0.675,-2.161,-27.832,16.602,45.044,0.143
-1.154,-0.534,1.301,-56.763,11.658,28.992,0.143
3.940,0.250,-4.000,31.799,20.630,25.085,0.143
-2.165,1.122,4.000,-47.852,29.602,30.212,0.143
