aX,aY,aZ,gX,gY,gZ,S
0.013,-0.063,-0.984,-0.610,0.549,0.244,0.185
0.011,-0.062,-0.986,-0.671,0.854,0.061,0.185
0.012,-0.059,-0.986,-0.488,0.244,-0.061,0.185
0.012,-0.062,-0.987,-0.305,0.305,-0.122,0.185
0.015,-0.062,-0.984,-0.488,0.183,-0.122,0.185
0.013,-0.062,-0.984,-0.610,0.305,0.061,0.185
0.013,-0.060,-0.986,-0.610,0.122,0.061,0.185
0.014,-0.061,-0.983,-0.854,0.427,0.061,0.185
0.011,-0.059,-0.985,-0.549,0.488,0.061,0.185
0.011,-0.064,-0.983,-0.671,0.183,-0.305,0.185
0.012,-0.063,-0.985,-0.854,0.244,-0.122,0.185
0.010,-0.063,-0.985,-0.854,0.549,-0.061,0.185
0.011,-0.062,-0.988,-0.549,0.793,0.183,0.185
0.012,-0.062,-0.987,-0.732,0.549,0.000,0.185
0.012,-0.062,-0.987,-0.793,0.488,-0.366,0.185
0.011,-0.063,-0.986,-0.732,0.488,-0.122,0.185
0.010,-0.063,-0.984,-0.671,0.427,-0.305,0.185
0.121,-0.019,-1.052,-1.831,1.160,0.183,0.185
-0.003,-0.263,-0.928,1.770,1.160,15.137,0.185
-0.046,0.052,-1.128,1.770,3.418,1.160,0.185
-0.342,0.986,-2.173,-3.357,3.723,8.728,0.185
1.152,0.704,-2.111,-48.950,14.404,0.061,0.185
-2.338,-0.727,0.683,-35.461,-30.640,-25.024,0.185
-0.185,-0.135,-3.977,53.345,-45.288,16.663,0.185
2.557,2.107,-2.326,6.348,-22.705,-5.981,0.185
2.027,-0.517,2.710,46.570,-31.738,-49.927,0.185
-0.375,0.620,-0.640,-12.817,48.645,-16.174,0.185
-0.684,-0.931,-0.430,35.217,20.630,-21.118,0.185
-0.803,0.549,-1.141,16.418,33.386,7.751,0.185
0.066,0.817,-1.824,-18.494,20.508,3.906,0.185
-1.717,0.073,0.030,-4.883,-15.564,-24.658,0.185
2.033,1.467,-0.760,-16.479,-24.719,2.563,0.185
0.224,0.654,-1.225,-35.400,-4.761,-27.649,0.185
-0.948,-0.735,0.247,-18.738,6.042,-20.386,0.185
2.124,2.069,-3.653,18.066,11.658,2.380,0.185
-0.872,-0.695,2.413,-36.865,28.625,-28.198,0.185
-1.339,0.967,-4.000,25.208,11.597,11.780,0.185
-0.286,-0.266,0.191,-52.307,18.982,-23.804,0.185
-1.809,-0.841,0.291,-13.428,-22.522,-26.306,0.185
1.085,1.028,-4.000,65.857,-38.147,-20.935,0.185
-0.204,0.318,1.953,-53.467,3.418,-27.466,0.185
1.683,2.156,-3.958,68.787,-31.128,-25.085,0.185
0.008,0.710,0.166,-32.837,0.549,-39.490,0.185
-0.075,-0.459,-0.296,30.640,0.305,-30.762,0.185
0.317,0.793,-1.288,24.902,-6.165,-22.766,0.185
0.847,0.517,0.439,13.000,4.883,-25.146,0.185
-0.673,0.426,-0.610,-28.137,29.236,-30.579,0.185
0.101,-0.202,-0.294,13.977,6.226,-23.499,0.185
-0.528,0.806,-0.011,-10.254,10.559,-24.597,0.166
0.138,0.441,-1.138,-2.991,0.549,-26.123,0.166
-0.009,0.928,-1.475,-3.357,12.024,-21.790,0.166
0.853,0.631,-2.395,-4.883,2.869,-26.550,0.166
-0.582,-1.060,0.483,-34.241,23.499,-27.771,0.166
-1.040,0.350,-3.204,6.409,15.869,-6.165,0.166
0.244,-0.031,-0.217,9.216,-8.667,-5.798,0.166
-0.055,-0.441,-0.553,-6.042,10.376,5.859,0.166
0.263,1.005,-2.272,22.522,-44.067,15.320,0.166
-0.060,0.189,0.508,8.850,-8.545,6.104,0.166
1.342,0.757,-2.935,11.841,-8.057,5.859,0.166
0.586,0.722,-0.667,-5.432,19.104,10.681,0.166
-0.575,-0.801,1.388,-36.072,57.129,24.597,0.166
-0.631,0.530,-2.782,42.480,9.766,31.311,0.166
-0.755,0.615,0.409,-0.122,-1.404,11.841,0.166
-0.174,0.542,-1.908,5.066,-16.113,6.531,0.166
-0.083,0.583,-0.493,-2.014,-41.321,0.000,0.166
0.798,1.321,-0.834,-29.114,-11.902,19.165,0.166
0.555,-0.518,-1.828,-50.354,6.104,10.620,0.166
-1.153,-1.416,1.452,-33.569,23.804,18.250,0.166
2.211,0.142,-4.000,63.965,-1.465,37.659,0.166
-1.134,0.092,0.951,-41.199,52.795,33.081,0.166
1.394,-0.278,-3.987,19.531,8.057,53.650,0.166
-2.192,1.908,1.009,-22.583,-10.071,34.546,0.166
1.006,0.538,-4.000,16.052,-34.424,29.846,0.166
0.171,-0.473,0.859,-21.606,-21.606,45.227,0.166
1.733,0.861,-4.000,53.406,-22.278,47.363,0.166
0.500,-0.844,1.409,-32.532,25.635,39.551,0.166
0.283,0.184,-2.055,29.541,19.836,53.345,0.166
-0.868,0.340,0.370,-20.203,38.635,48.096,0.166
-1.863,1.219,1.987,4.395,-9.033,60.913,0.166
0.374,0.147,-4.000,55.725,-4.639,56.458,0.166
-1.203,0.832,3.945,-46.448,-22.949,44.006,0.166
1.623,1.247,-4.000,35.522,-32.898,46.997,0.166
0.322,-0.272,0.724,-46.875,15.686,41.321,0.166
0.452,0.729,-4.000,14.282,3.052,53.284,0.166
-2.506,1.138,1.864,-56.824,8.545,53.223,0.166
2.979,0.333,-4.000,31.189,-3.418,51.208,0.166
-0.381,-0.859,3.940,-100.220,37.476,46.875,0.166
0.673,-0.071,-4.000,57.678,-5.310,54.199,0.166
-1.692,0.997,0.818,-60.852,34.607,46.997,0.166
1.731,-0.388,-3.974,20.264,19.897,57.312,0.166
-1.414,0.422,1.115,-44.006,41.992,49.805,0.166
0.800,0.123,-2.074,-5.615,21.667,57.983,0.166
-1.710,0.960,-0.032,-11.841,6.775,51.636,0.166
-0.560,-1.999,0.340,-16.113,-24.109,55.481,0.166
0.245,0.810,-2.320,85.327,-66.772,66.895,0.166
3.979,0.160,-1.422,44.800,31.128,73.730,0.166
1.414,1.844,-3.716,9.399,90.149,75.500,0.166
-3.085,0.296,-1.054,-80.505,85.999,69.275,0.166
-0.690,0.322,-0.612,40.161,18.005,70.496,0.166
-1.259,1.008,-0.834,-13.855,1.831,60.486,0.166
0.335,0.529,2.113,3.296,-30.884,62.927,0.166
1.505,-0.013,-1.662,-18.738,-15.320,57.007,0.166
-0.227,-0.573,3.138,-45.227,7.202,69.153,0.166
0.783,-2.155,-4.000,28.198,3.784,78.247,0.166
