aX,aY,aZ,gX,gY,gZ,S
0.020,-0.061,-0.987,-0.427,0.305,-0.122,0.097
0.015,-0.060,-0.984,-0.549,0.305,-0.122,0.097
0.018,-0.062,-0.985,-0.427,0.732,0.122,0.097
0.015,-0.061,-0.984,-0.427,0.488,-0.122,0.097
0.019,-0.060,-0.986,-0.305,0.488,0.000,0.097
0.021,-0.059,-0.985,-0.854,0.122,-0.061,0.097
0.022,-0.064,-0.981,-0.671,0.671,0.061,0.097
0.018,-0.064,-0.988,-0.671,0.427,-0.061,0.097
0.012,-0.066,-0.986,-0.549,0.244,0.061,0.097
0.018,-0.065,-0.988,-0.305,0.488,0.183,0.097
0.024,-0.061,-0.985,-0.793,0.366,0.000,0.097
0.027,-0.066,-0.985,-0.610,0.366,0.000,0.097
0.017,-0.072,-0.984,-1.038,0.549,-0.183,0.097
0.008,-0.068,-0.987,-0.244,0.488,0.061,0.097
0.007,-0.070,-0.979,-0.427,0.671,0.122,0.097
0.016,-0.066,-0.984,-0.366,0.244,0.061,0.097
0.022,-0.093,-0.983,-0.610,0.366,0.000,0.097
0.019,-0.072,-0.984,-0.732,0.732,-0.183,0.097
0.017,-0.069,-0.987,-1.038,0.305,-0.305,0.097
0.014,-0.066,-0.986,-0.732,0.366,-0.366,0.097
0.023,-0.063,-0.983,-0.549,0.366,0.000,0.097
0.125,-0.092,-1.186,-0.488,0.732,0.183,0.097
-0.017,-0.164,-0.807,-1.038,2.747,0.000,0.097
-0.265,-0.154,-1.148,-1.709,1.953,0.916,0.097
-0.026,0.634,-2.085,-15.503,7.690,9.949,0.097
0.904,1.766,-3.834,-28.687,-4.150,4.333,0.097
-1.872,-0.873,-0.393,-22.461,-37.598,-24.109,0.097
0.984,0.609,2.239,69.824,-51.697,-9.949,0.097
0.523,0.689,-0.014,23.437,-23.437,-9.460,0.097
1.434,0.613,-0.562,13.794,8.850,4.333,0.097
0.054,0.821,-2.170,17.090,28.809,3.906,0.097
-0.458,0.427,1.264,6.287,23.987,5.310,0.097
-1.210,0.607,-0.943,-4.578,14.771,8.057,0.097
-0.037,1.457,-2.451,34.668,-17.273,14.038,0.097
0.428,1.525,-3.248,-8.911,-14.465,-3.906,0.162
-0.508,-0.842,-1.916,-21.545,1.709,-17.700,0.162
0.431,0.220,1.417,-29.846,-3.479,-5.066,0.162
0.369,-0.047,-1.315,-12.024,14.465,-4.822,0.162
0.372,0.220,-0.883,5.127,15.808,7.141,0.162
-1.025,0.012,-1.491,-20.691,26.184,-6.775,0.162
-0.767,-1.625,-1.040,-6.104,9.644,-13.367,0.162
-0.870,-0.257,-3.231,34.790,-15.076,-6.775,0.162
-0.043,1.823,-0.019,-0.977,-7.202,-7.629,0.162
0.416,1.108,0.314,-21.851,-1.160,-6.104,0.162
-0.205,0.191,-1.191,-3.296,-6.897,-12.146,0.162
0.999,0.655,-2.573,8.667,-4.700,-5.432,0.162
0.188,1.188,-1.883,-22.034,17.578,-5.310,0.162
-0.101,-0.993,-0.102,-31.433,20.874,-20.203,0.162
-0.831,-0.099,-1.338,25.024,5.066,-2.014,0.162
-0.777,2.214,1.024,-0.854,3.052,14.343,0.162
0.253,1.186,-1.191,5.005,-2.258,2.991,0.162
-0.589,-1.094,-0.461,-27.039,0.854,-12.146,0.162
-0.687,1.633,-0.875,26.428,-19.226,6.165,0.162
0.320,0.980,-0.604,-26.611,11.780,-8.423,0.162
1.090,-0.915,-1.821,-15.564,17.883,-13.977,0.162
-0.773,-0.537,0.096,-28.198,37.659,-17.883,0.162
-0.106,1.214,-3.629,23.865,22.461,-5.798,0.162
-1.056,-1.495,0.868,-59.509,36.804,-8.057,0.162
-0.897,-0.101,-1.164,22.034,-8.972,3.357,0.162
-0.421,0.657,-1.087,20.630,-36.865,-13.977,0.162
1.693,-0.012,0.198,26.001,-28.870,-14.282,0.162
0.671,2.393,-4.000,8.545,11.047,-12.268,0.162
-1.366,-1.564,0.327,-63.477,18.372,-27.954,0.162
0.305,3.130,-1.534,83.862,-37.109,-7.141,0.162
0.076,-0.365,-0.989,-35.095,-4.822,-9.033,0.162
0.432,-0.547,1.666,-9.338,14.343,-20.020,0.162
0.643,1.136,-3.136,7.751,20.264,-13.000,0.162
-0.047,-1.111,1.484,-36.438,41.199,-24.414,0.162
-1.240,0.776,-3.926,16.724,12.390,-12.817,0.162
-0.136,-0.701,0.596,31.067,-20.081,-28.809,0.162
0.566,1.121,-3.867,26.733,-25.635,-25.696,0.162
-0.475,0.312,-1.502,3.967,-24.658,-41.504,0.162
-0.187,0.951,-1.664,-13.428,-19.287,-22.278,0.162
1.019,-0.148,-1.300,-2.014,-29.053,-40.771,0.162
1.313,-0.215,-0.549,-1.953,9.949,-28.931,0.162
0.895,0.672,-1.772,-28.015,40.527,-26.184,0.162
-1.436,-1.988,0.351,-57.434,41.748,-46.936,0.162
-1.572,0.697,-0.266,46.997,-3.296,-24.109,0.162
-0.716,-0.795,-1.348,2.686,-19.409,-42.297,0.162
0.246,1.924,-1.659,69.275,-44.800,-36.438,0.162
0.319,1.061,-1.414,-19.897,-28.381,-51.880,0.162
0.867,2.288,-3.997,11.536,-23.865,-45.349,0.162
0.142,-1.973,2.117,-40.710,15.442,-70.557,0.162
0.807,1.672,-4.000,82.397,12.085,-46.387,0.162
-0.634,-1.554,1.970,-94.788,75.806,-44.800,0.162
-2.081,0.147,1.862,-34.668,10.681,-32.776,0.162
1.173,1.142,-4.000,122.192,-25.085,-37.842,0.162
-0.378,-1.202,2.723,-80.383,12.756,-71.777,0.162
0.543,-0.470,-3.258,84.412,-17.273,-58.350,0.162
0.928,-0.165,-0.312,-8.850,22.034,-68.115,0.162
-2.530,0.389,-2.983,2.625,34.241,-61.768,0.162
-0.453,-0.040,1.114,28.564,-2.808,-32.593,0.162
0.760,1.850,-4.000,79.407,-47.424,-39.307,0.162
-2.304,-0.307,0.316,-71.838,-25.208,-62.073,0.162
1.913,0.746,2.102,97.351,-67.810,-30.945,0.162
