aX,aY,aZ,gX,gY,gZ,S
0.018,-0.056,-0.987,-0.854,0.244,-0.366,0.135
0.019,-0.056,-0.988,-0.732,0.427,-0.305,0.135
0.019,-0.056,-0.984,-1.038,0.427,-0.183,0.135
0.018,-0.054,-0.984,-0.732,0.244,-0.122,0.135
0.017,-0.056,-0.986,-0.732,0.366,-0.122,0.135
0.019,-0.058,-0.987,-0.671,0.488,0.000,0.135
0.017,-0.054,-0.984,-0.549,0.549,-0.061,0.135
0.019,-0.055,-0.987,-0.610,0.610,0.061,0.135
0.019,-0.055,-0.986,-0.732,0.793,0.000,0.135
0.016,-0.058,-0.982,-0.549,0.671,-0.061,0.135
0.021,-0.054,-0.986,-0.610,0.366,0.244,0.135
0.018,-0.054,-0.987,-0.732,0.488,-0.183,0.135
0.018,-0.055,-0.986,-0.610,0.671,-0.122,0.135
0.016,-0.054,-0.984,-0.366,0.671,0.305,0.135
0.019,-0.055,-0.987,-0.488,0.854,0.000,0.135
0.019,-0.055,-0.986,-0.732,0.366,-0.122,0.135
0.017,-0.056,-0.987,-0.549,0.244,-0.061,0.135
0.016,-0.056,-0.986,-0.610,0.244,0.061,0.135
0.016,-0.056,-0.987,-0.916,0.610,-0.061,0.135
0.018,-0.056,-0.985,-0.549,0.671,-0.061,0.135
0.017,-0.056,-0.986,-0.671,0.183,-0.183,0.135
0.019,-0.054,-0.985,-0.549,0.488,-0.244,0.135
0.019,-0.054,-0.988,-0.671,0.610,-0.183,0.135
0.016,-0.054,-0.986,-0.732,0.305,0.061,0.135
0.018,-0.055,-0.984,-0.305,0.671,0.000,0.135
0.016,-0.054,-0.987,-0.305,0.427,-0.061,0.135
0.019,-0.055,-0.984,-0.610,0.488,0.122,0.135
0.020,-0.054,-0.983,-0.183,0.427,-0.244,0.135
0.020,-0.057,-0.983,-0.671,0.427,0.183,0.135
0.020,-0.056,-0.984,-0.427,0.427,-0.061,0.166
0.018,-0.055,-0.983,-0.610,0.549,0.061,0.166
0.017,-0.054,-0.990,-0.549,0.366,-0.305,0.166
0.018,-0.055,-0.984,-0.488,0.732,-0.244,0.166
0.018,-0.054,-0.983,-0.488,0.488,-0.061,0.166
0.017,-0.058,-0.985,-0.610,0.366,-0.305,0.166
0.019,-0.056,-0.982,-0.549,0.244,-0.427,0.166
0.019,-0.057,-0.986,-0.610,0.000,-0.122,0.166
0.019,-0.056,-0.988,-0.916,0.366,-0.183,0.166
0.018,-0.057,-0.983,-0.977,0.305,-0.122,0.166
0.018,-0.056,-0.983,-0.549,0.183,0.061,0.166
0.018,-0.057,-0.985,-0.793,0.183,-0.122,0.166
0.017,-0.055,-0.989,-0.793,0.122,-0.244,0.166
0.018,-0.054,-0.985,-0.305,0.061,-0.122,0.166
0.018,-0.055,-0.988,-0.610,0.244,-0.244,0.166
0.017,-0.056,-0.986,-0.854,0.549,-0.061,0.166
0.020,-0.058,-0.984,-0.610,0.488,0.000,0.166
0.017,-0.055,-0.986,-0.671,0.183,-0.366,0.166
0.019,-0.055,-0.985,-0.732,0.549,-0.305,0.166
0.019,-0.056,-0.985,-0.793,0.305,-0.244,0.166
0.017,-0.055,-0.983,-1.099,0.427,-0.244,0.166
0.015,-0.055,-0.982,-0.488,0.366,0.061,0.166
0.017,-0.054,-0.984,-0.671,0.549,0.000,0.166
0.019,-0.055,-0.984,-0.854,0.427,-0.244,0.166
0.019,-0.057,-0.986,-0.793,0.427,-0.061,0.166
0.017,-0.057,-0.984,-0.488,0.244,-0.305,0.166
0.020,-0.057,-0.985,-0.732,0.122,-0.244,0.166
0.020,-0.056,-0.986,-0.793,0.610,-0.122,0.166
0.016,-0.055,-0.984,-0.305,0.671,0.122,0.166
0.019,-0.057,-0.986,-0.305,0.305,-0.122,0.166
0.019,-0.057,-0.984,-0.671,0.671,-15.625,0.166
0.017,-0.057,-0.982,-0.732,0.488,0.000,0.166
0.017,-0.057,-0.984,-0.488,0.488,0.061,0.166
0.015,-0.058,-0.983,-0.610,0.366,-0.122,0.166
0.017,-0.056,-0.987,-0.549,0.488,-0.122,0.166
0.019,-0.057,-0.985,-0.610,0.305,0.000,0.166
0.016,-0.054,-0.985,-0.610,0.305,-0.244,0.166
0.019,-0.057,-0.985,-0.671,0.366,0.183,0.166
0.020,-0.055,-0.987,-0.427,0.427,-0.061,0.166
0.016,-0.055,-0.983,-0.610,0.488,-0.183,0.166
0.015,-0.057,-0.987,-0.671,0.488,-0.061,0.166
0.021,-0.058,-0.983,-0.427,0.366,-0.122,0.166
0.015,-0.053,-0.985,-0.854,0.427,0.000,0.166
0.019,-0.056,-0.987,-0.977,0.305,-0.183,0.166
0.016,-0.056,-0.985,-0.793,0.549,-0.061,0.166
0.018,-0.058,-0.983,-0.671,0.244,0.000,0.166
0.018,-0.056,-0.988,-0.610,0.610,-0.061,0.166
0.019,-0.056,-0.983,-0.793,0.366,0.000,0.166
0.019,-0.057,-0.986,-0.671,0.610,0.061,0.166
0.016,-0.054,-0.985,-0.671,0.366,0.122,0.166
0.018,-0.057,-0.984,-0.610,0.427,-0.183,0.166
0.021,-0.057,-0.985,-0.854,0.366,-0.183,0.166
0.017,-0.055,-0.987,-0.305,0.427,-0.305,0.166
0.020,-0.054,-0.989,-0.732,0.549,-0.183,0.166
0.018,-0.055,-0.986,-0.793,0.488,0.061,0.166
0.017,-0.058,-0.984,-0.671,0.366,-0.244,0.166
0.019,-0.057,-0.987,-0.671,0.488,-0.183,0.166
0.018,-0.057,-0.985,-0.427,0.244,-0.122,0.166
0.017,-0.054,-0.987,-0.610,0.427,-0.061,0.166
0.019,-0.056,-0.987,-0.854,0.366,0.122,0.166
0.019,-0.057,-0.987,-0.793,0.183,-0.061,0.166
0.019,-0.054,-0.986,-0.366,0.427,-0.122,0.166
0.018,-0.058,-0.988,-0.427,0.427,-0.122,0.135
0.020,-0.055,-0.987,-0.610,0.549,-0.061,0.135
0.020,-0.055,-0.988,-0.732,0.305,0.000,0.135
0.019,-0.054,-0.985,-0.916,0.549,0.000,0.135
0.017,-0.054,-0.985,-0.427,0.488,-0.122,0.135
0.020,-0.054,-0.984,-0.549,0.366,0.061,0.135
0.018,-0.057,-0.987,-0.671,0.244,0.000,0.135
0.020,-0.055,-0.984,-0.610,0.427,-0.305,0.135
0.017,-0.056,-0.984,-0.671,0.366,-0.061,0.135
0.020,-0.055,-0.986,-0.549,0.305,-0.183,0.135
0.017,-0.057,-0.983,-0.427,0.366,-0.122,0.135
0.017,-0.058,-0.983,-0.549,0.427,-0.183,0.135
0.020,-0.056,-0.986,-0.549,0.488,-0.305,0.135
0.017,-0.053,-0.986,-0.488,0.610,-0.122,0.135
0.019,-0.055,-0.987,-0.671,0.549,0.122,0.135
0.020,-0.053,-0.988,-0.366,0.366,0.122,0.135
0.018,-0.056,-0.985,-0.610,0.305,-0.122,0.135
0.020,-0.054,-0.983,-0.671,0.488,-0.061,0.135
0.017,-0.054,-0.986,-0.732,0.427,-0.183,0.135
0.020,-0.057,-0.986,-0.610,0.549,-0.183,0.135
0.017,-0.056,-0.985,-0.549,0.488,-0.061,0.135
0.018,-0.055,-0.987,-0.671,0.610,-0.061,0.135
0.020,-0.056,-0.985,-0.671,0.427,0.122,0.135
0.017,-0.107,-1.003,-0.610,0.305,-0.244,0.135
-0.061,0.048,-1.047,0.610,-0.061,0.244,0.135
0.155,0.381,-0.996,-0.793,-0.244,2.136,0.135
-0.315,-0.264,-0.900,-14.526,11.169,0.122,0.135
0.375,-1.625,0.523,-29.907,-2.686,-12.024,0.135
-0.113,1.862,-1.600,-42.236,-4.089,-4.333,0.135
-1.318,-1.393,-0.486,-64.209,-3.662,-14.954,0.135
0.579,-1.287,-2.126,-20.081,-23.560,10.376,0.135
0.951,-1.325,0.447,-6.287,-13.367,7.324,0.135
0.715,-1.485,-0.182,29.114,0.549,10.254,0.135
