aX,aY,aZ,gX,gY,gZ,S
-0.184,0.361,-0.534,8.118,-13.550,-13.733,0.541
0.672,0.277,-0.361,14.282,-18.738,-21.179,0.541
1.685,1.827,-1.950,-9.521,-0.366,-14.221,0.541
-0.429,0.471,-0.971,-22.400,19.775,-23.621,0.541
-0.554,-0.419,-0.083,-26.245,13.794,-20.691,0.541
-0.334,0.036,-0.415,23.560,-10.193,-13.916,0.541
0.771,1.600,-2.027,28.137,-13.000,-28.198,0.541
0.701,1.411,-0.257,-19.836,9.216,-25.940,0.112
-1.008,0.271,-1.161,-16.296,13.367,-29.785,0.112
-0.255,-0.617,0.203,-13.611,-3.967,-32.349,0.112
0.059,0.425,-2.668,41.565,-16.113,-19.409,0.112
0.010,0.295,-2.059,4.883,-7.935,-22.278,0.112
0.135,1.397,-2.689,-5.249,-8.667,-18.494,0.112
-0.226,0.518,0.833,-42.114,-25.696,-20.386,0.112
0.557,1.425,-3.257,-1.526,-28.687,-5.493,0.112
0.712,-0.006,1.207,-39.917,5.249,-7.202,0.112
0.449,-0.713,-0.929,-6.226,13.977,-12.024,0.112
0.564,0.039,-0.485,-2.380,24.597,-4.395,0.112
-0.487,0.923,-0.587,-0.549,27.344,-4.761,0.112
-0.571,-0.617,-2.152,-30.334,15.503,-12.146,0.112
-0.635,1.439,0.431,11.841,-9.705,-10.071,0.112
0.576,1.543,-3.005,-2.258,-17.212,-7.385,0.112
0.733,-0.432,-0.860,-34.424,0.122,-17.639,0.112
0.320,-0.145,-0.282,7.263,4.639,-5.005,0.112
0.372,1.385,-2.708,3.540,22.522,2.747,0.112
-0.595,0.636,0.756,-30.762,34.302,-10.254,0.112
-0.720,0.375,0.606,-3.479,9.033,-6.287,0.112
0.205,0.470,-2.254,-4.578,-11.353,-14.343,0.112
-0.021,-0.948,0.278,-32.837,-1.892,-23.193,0.112
0.547,0.322,-2.450,19.104,2.258,-14.160,0.112
-1.055,0.442,-0.296,-19.653,13.367,-15.747,0.112
0.624,0.727,-0.899,34.241,-11.108,-8.545,0.112
-0.527,1.879,-2.653,-1.587,-1.831,-6.592,0.112
-0.108,0.741,-1.200,-16.113,1.404,-17.029,0.112
-0.441,0.839,-0.501,-6.409,-2.502,-9.705,0.112
0.010,0.480,-1.130,-4.578,-2.319,-6.775,0.112
-0.183,-0.219,0.610,-27.405,11.963,-8.423,0.112
