aX,aY,aZ,gX,gY,gZ,ss
0.262,-0.021,-1.073,0.366,0.061,0.916,0.11
0.266,-0.043,-0.963,0.427,0.854,0.488,0.11
0.261,-0.043,-0.936,0.549,1.282,0.977,0.11
0.274,-0.042,-0.962,0.916,1.404,0.916,0.11
0.292,-0.036,-0.971,1.099,1.404,0.549,0.11
0.287,-0.024,-0.921,1.160,1.526,0.854,0.11
0.265,-0.025,-0.868,1.038,1.099,0.854,0.11
0.274,-0.044,-0.883,0.488,0.305,0.793,0.11
0.288,-0.051,-0.949,0.610,-0.122,0.977,0.11
0.285,-0.018,-1.004,1.160,0.305,1.038,0.11
0.257,0.016,-1.073,1.465,0.061,1.221,0.11
0.253,-0.002,-1.126,0.732,-15.442,0.610,0.11
0.268,-0.033,-1.089,0.244,0.732,0.671,0.11
0.267,-0.036,-0.971,0.793,1.587,0.671,0.11
0.266,-0.038,-0.948,0.671,1.648,0.671,S0.11
0.279,-0.044,-0.942,0.854,1.587,0.977,0.11
0.300,-0.034,-0.947,0.854,2.014,0.916,0.11
0.298,-0.021,-0.905,1.282,1.709,0.854,0.11
0.277,-0.022,-0.852,1.038,1.526,0.793,0.11
0.285,-0.048,-0.876,0.610,0.549,0.854,0.11
0.294,-0.056,-0.962,0.916,0.122,0.916,0.11
0.254,0.000,-1.007,1.221,0.671,1.160,0.11
0.252,0.025,-1.092,1.160,0.244,0.916,0.11
0.263,0.004,-1.157,0.549,0.000,0.549,0.11
0.276,-0.033,-1.091,0.061,0.732,0.671,0.11
0.275,-0.046,-0.964,1.099,1.160,0.366,0.11
0.268,-0.043,-0.916,0.793,1.587,0.977,0.11
0.286,-0.042,-0.952,0.793,1.587,0.793,0.11
0.306,-0.033,-0.957,1.038,1.648,0.854,0.11
0.295,-0.019,-0.884,1.282,1.343,0.793,0.11
0.279,-0.030,-0.880,1.038,0.977,0.854,0.11
0.284,-0.051,-0.910,0.366,0.305,0.732,0.11
0.292,-0.041,-0.982,0.549,0.549,1.038,0.11
0.267,-0.005,-1.023,1.160,0.732,1.221,0.11
0.249,0.015,-1.086,0.671,0.427,0.854,0.11
0.266,-0.005,-1.147,0.427,0.183,0.732,0.11
0.286,-0.041,-1.059,0.061,0.977,0.732,0.23
0.277,-0.049,-0.931,0.732,2.014,0.671,0.23
0.260,-0.043,-0.920,0.977,2.075,0.732,0.23
0.285,-0.047,-0.954,0.977,1.648,1.099,0.23
0.303,-0.036,-0.957,1.404,1.221,0.549,0.23
0.278,-0.019,-0.890,1.404,1.465,0.854,0.23
0.270,-0.030,-0.869,1.282,0.977,0.671,0.23
0.287,-0.050,-0.902,0.427,0.244,0.977,0.23
0.298,-0.037,-0.974,0.793,0.793,0.854,0.23
0.274,-0.003,-1.011,1.099,0.793,0.977,0.23
0.242,0.015,-1.057,0.671,0.671,0.977,0.23
0.258,-0.000,-1.122,0.427,0.061,0.732,0.23
0.275,-0.035,-1.053,0.122,0.549,0.854,0.23
0.271,-0.047,-0.941,0.427,1.343,0.732,0.23
0.262,-0.041,-0.936,1.221,1.465,0.916,0.23
0.281,-0.041,-0.972,1.099,1.587,0.916,0.23
0.301,-0.029,-0.963,0.977,1.709,0.854,0.23
0.282,-0.023,-0.890,1.160,1.770,1.099,0.23
0.268,-0.029,-0.875,0.793,0.671,0.610,0.23
0.285,-0.050,-0.901,0.366,-0.061,0.977,0.23
0.290,-0.040,-0.966,0.977,0.122,1.099,0.23
0.268,-0.007,-1.004,1.099,0.732,1.099,0.23
0.239,0.008,-1.071,0.732,0.427,0.732,0.23
0.250,-0.007,-1.130,0.244,0.122,0.549,0.23
0.268,-0.042,-1.061,0.000,0.488,0.610,0.23
0.264,-0.039,-0.943,0.549,1.343,0.671,0.23
0.262,-0.038,-0.937,1.038,1.648,0.732,0.23
0.277,-0.038,-0.950,1.160,1.526,0.610,0.23
0.295,-0.029,-0.946,1.160,1.648,0.854,0.23
0.276,-0.018,-0.877,1.465,1.770,0.793,0.23
0.267,-0.026,-0.853,1.160,0.671,0.488,0.23
0.279,-0.051,-0.879,0.305,0.305,0.488,0.23
0.280,-0.047,-0.994,0.732,0.305,1.099,0.23
0.260,-0.004,-1.042,1.038,0.549,1.038,0.23
0.240,0.021,-1.095,0.610,-15.442,0.854,0.23
0.258,-0.013,-1.156,0.488,0.000,0.671,0.23
0.271,-0.040,-1.061,0.244,1.038,0.549,0.23
0.257,-0.042,-0.932,0.671,1.831,0.793,0.23
0.251,-0.042,-0.907,0.488,1.892,0.977,0.23
0.263,-0.041,-0.910,0.916,1.282,0.977,0.23
0.290,-0.030,-0.943,1.038,1.343,0.977,0.23
0.292,-0.022,-0.916,0.977,1.282,0.977,0.23
0.271,-0.026,-0.877,0.793,1.160,0.732,0.23
0.263,-0.055,-0.897,0.366,0.854,0.854,0.23
0.267,-0.039,-0.973,0.610,0.366,0.916,0.23
0.253,0.008,-1.053,1.160,0.427,0.977,0.23
0.237,0.019,-1.077,0.977,0.366,0.854,0.23
0.266,-0.012,-1.139,0.305,0.366,0.793,0.23
0.267,-0.041,-1.056,0.244,1.221,0.977,0.23
0.264,-0.049,-0.951,0.549,1.587,0.793,0.23
0.265,-0.042,-0.937,0.977,0.916,0.916,0.23
0.271,-0.039,-0.943,0.977,1.404,1.099,0.23
0.287,-0.032,-0.937,1.160,1.587,0.793,0.23
